line	name	status	tables	ops	priority	pg_counterpart
44	get_db_connection	SQLITE-ONLY	-	UNKNOWN	LOW	False
86	init_db	SQLITE-ONLY	ai_audit_log,athlete_history,athlete_metric_log,athletes,audit_logs,beck_assessments,ble_devices,calendar_events,chat_history,daily_activity_classification,external_identities,external_tokens,fitness_states,food_logs,ftp_history,garmin_tokens,hr_24h_samples,hr_monitoring_settings,itineraries,knowledge_chunks,legal_acceptances,metabolic_adaptive_weights,metabolic_daily_summaries,metabolic_profiles,metabolic_reference_values,metrics,nutrition_food_items,pauses,performance_metrics,planned_workouts,pois,rides,road_incidents,route_safety_scores,segments,sensor_data,sessions,stages,strava_tokens,totp_secrets,training_goals,training_stress_days,user_consent,users,wahoo_tokens,weather_cache	UPSERT,WRITE	LOW	False
1048	_ensure_sync_tables	SQLITE-ONLY	sync_conflicts,sync_entity_state,sync_settings	UPSERT,WRITE	LOW	False
1098	_ensure_external_identity_index	SQLITE-ONLY	rides	READ	LOW	False
1117	_row_to_ride	SQLITE-ONLY	-	UNKNOWN	HIGH	False
1147	_find_existing_external_ride	SQLITE-ONLY	rides	READ	HIGH	True
1160	save_ride	MIGRATED	rides	WRITE	HIGH	True
1250	get_ride	MIGRATED	rides	READ	HIGH	True
1273	get_rides_by_athlete	MIGRATED	rides	READ	HIGH	True
1294	get_athlete_by_name	SQLITE-ONLY	athletes	READ	HIGH	False
1308	get_athlete_by_email	MIGRATED	athletes	READ	HIGH	True
1327	get_all_rides	MIGRATED	rides	READ	HIGH	True
1348	delete_ride	MIGRATED	rides	DELETE,READ	HIGH	True
1366	update_ride	MIGRATED	rides	UPSERT	HIGH	True
1416	save_athlete	MIGRATED	athletes	READ,UPSERT,WRITE	HIGH	True
1509	_row_to_athlete	SQLITE-ONLY	-	UPSERT	HIGH	False
1561	get_athlete	MIGRATED	athletes	READ	HIGH	True
1584	save_metric	MIGRATED	metrics	WRITE	HIGH	True
1613	save_athlete_snapshot	MIGRATED	athlete_history	WRITE	HIGH	True
1694	get_athlete_history	MIGRATED	athlete_history	READ	HIGH	True
1722	update_athlete	MIGRATED	athletes	UPSERT	HIGH	True
1795	_ensure_oauth_lock_table	SQLITE-ONLY	oauth_locks	WRITE	HIGH	False
1806	acquire_oauth_sqlite_lock	SQLITE-ONLY	-	UNKNOWN	HIGH	False
1821	release_oauth_sqlite_lock	SQLITE-ONLY	oauth_locks	DELETE,READ	HIGH	False
1827	get_athletes_by_user	MIGRATED	athletes	READ	HIGH	True
1841	get_athlete_count_by_user	MIGRATED	athletes	READ	HIGH	True
1853	delete_athlete	MIGRATED	athletes	DELETE,READ	HIGH	True
1868	_ensure_user_oauth_credentials_table	SQLITE-ONLY	user_oauth_credentials	UPSERT,WRITE	HIGH	False
1890	get_user_oauth_credentials	SQLITE-ONLY	user_oauth_credentials	READ	HIGH	False
1911	get_all_user_oauth_credentials	SQLITE-ONLY	user_oauth_credentials	READ	HIGH	False
1919	save_user_oauth_credentials	SQLITE-ONLY	user_oauth_credentials	UPSERT,WRITE	HIGH	False
1955	delete_user_oauth_credentials	SQLITE-ONLY	user_oauth_credentials	DELETE,READ	HIGH	False
1963	log_athlete_metric	MIGRATED	-	UNKNOWN	HIGH	True
2013	get_athlete_metric_log	MIGRATED	athlete_metric_log	READ	HIGH	True
2055	log_hr_sample	SQLITE-ONLY	hr_24h_samples	WRITE	HIGH	False
2086	log_hr_samples	SQLITE-ONLY	hr_24h_samples	WRITE	HIGH	False
2131	get_hr_24h_samples	SQLITE-ONLY	hr_24h_samples	READ	HIGH	False
2172	get_hr_daily_summary	SQLITE-ONLY	hr_24h_samples	READ	HIGH	False
2212	get_hr_settings	SQLITE-ONLY	hr_monitoring_settings	READ	HIGH	False
2232	upsert_hr_settings	SQLITE-ONLY	hr_monitoring_settings	UPSERT,WRITE	HIGH	False
2267	delete_hr_settings	SQLITE-ONLY	hr_monitoring_settings	DELETE,READ	HIGH	False
2285	delete_hr_samples	SQLITE-ONLY	hr_24h_samples	DELETE,READ	HIGH	False
2310	log_sensor_data	SQLITE-ONLY	sensor_data	WRITE	HIGH	False
2350	classify_day	SQLITE-ONLY	daily_activity_classification,hr_24h_samples,metabolic_daily_summaries,rides	READ,UPSERT,WRITE	LOW	False
2488	get_activity_summary	SQLITE-ONLY	daily_activity_classification	READ	LOW	False
2526	get_activity_classification	SQLITE-ONLY	daily_activity_classification	READ	LOW	False
2557	_get_max_hr_setting	SQLITE-ONLY	-	UNKNOWN	HIGH	False
2565	_get_resting_hr_setting	SQLITE-ONLY	-	UNKNOWN	HIGH	False
2573	save_metabolic_profile	SQLITE-ONLY	metabolic_profiles	UPSERT,WRITE	HIGH	False
2608	get_metabolic_profile	SQLITE-ONLY	metabolic_profiles	READ,UPSERT	HIGH	False
2636	save_food_log	SQLITE-ONLY	food_logs	WRITE	HIGH	False
2668	get_food_logs_by_athlete_date	SQLITE-ONLY	food_logs	READ	HIGH	False
